Step,From,To,Weight
1,A51,A52,105.0
2,A52,A41,105.0
3,A41,A52,105.0
4,A52,A51,105.0
5,A51,A43,70.0
6,A43,A49,70.0
7,A49,A47,70.0
8,A47,A49,70.0
9,A49,A50,70.0
10,A50,A55,126.0
11,A55,A57,35.0
12,A57,A58,35.0
13,A58,A59,70.0
14,A59,A60,70.0
15,A60,A107,70.0
16,A107,A106,56.0
17,A106,A103,126.0
18,A103,A104,91.0
19,A104,A105,56.0
20,A105,A104,56.0
21,A104,A101,70.0
22,A101,A97,70.0
23,A97,A101,70.0
24,A101,A102,105.0
25,A102,A103,70.0
26,A103,A106,126.0
27,A106,A100,455.0
28,A100,A96,126.0
29,A96,A99,91.0
30,A99,A98,70.0
31,A98,A97,70.0
32,A97,A96,70.0
33,A96,A100,126.0
34,A100,A46,56.0
35,A46,A45,105.0
36,A45,A47,70.0
37,A47,A48,70.0
38,A48,A43,70.0
39,A43,A48,70.0
40,A48,A44,70.0
41,A44,A46,91.0
42,A46,A45,105.0
43,A45,A44,70.0
44,A44,A33,70.0
45,A33,A44,70.0
46,A44,A43,140.0
47,A43,A30,175.0
48,A30,A35,70.0
49,A35,A34,91.0
50,A34,A35,91.0
51,A35,A36,70.0
52,A36,A37,91.0
53,A37,A36,91.0
54,A36,A39,91.0
55,A39,A38,70.0
56,A38,A39,70.0
57,A39,A40,70.0
58,A40,A26,126.0
59,A26,A25,245.0
60,A25,A30,105.0
61,A30,A31,70.0
62,A31,A32,70.0
63,A32,A31,70.0
64,A31,A29,70.0
65,A29,A33,70.0
66,A33,A28,175.0
67,A28,A29,35.0
68,A29,A28,35.0
69,A28,A27,105.0
70,A27,A24,35.0
71,A24,A27,35.0
72,A27,A23,140.0
73,A23,A22,91.0
74,A22,A24,91.0
75,A24,A25,140.0
76,A25,A21,91.0
77,A21,A20,245.0
78,A20,A19,21.0
79,A19,A18,35.0
80,A18,A17,70.0
81,A17,A18,70.0
82,A18,A15,105.0
83,A15,A16,70.0
84,A16,A15,70.0
85,A15,A14,35.0
86,A14,A13,70.0
87,A13,A12,70.0
88,A12,A21,21.0
89,A21,A22,140.0
90,A22,A10,21.0
91,A10,A11,70.0
92,A11,A10,70.0
93,A10,A9,140.0
94,A9,A8,70.0
95,A8,A11,140.0
96,A11,A12,70.0
97,A12,A7,140.0
98,A7,A8,70.0
99,A8,A7,70.0
100,A7,A6,70.0
101,A6,A5,70.0
102,A5,A16,70.0
103,A16,A17,105.0
104,A17,A4,70.0
105,A4,A5,105.0
106,A5,A6,70.0
107,A6,A13,140.0
108,A13,A14,70.0
109,A14,A19,105.0
110,A19,A20,21.0
111,A20,A26,70.0
112,A26,A40,126.0
113,A40,A41,140.0
114,A41,A42,35.0
115,A42,A77,70.0
116,A77,A78,70.0
117,A78,A82,105.0
118,A82,A83,105.0
119,A83,A95,70.0
120,A95,A94,70.0
121,A94,A93,91.0
122,A93,A92,35.0
123,A92,A2,105.0
124,A2,A92,105.0
125,A92,A91,70.0
126,A91,A95,91.0
127,A95,A83,70.0
128,A83,A84,56.0
129,A84,A85,35.0
130,A85,A91,70.0
131,A91,A93,70.0
132,A93,A3,70.0
133,A3,A4,175.0
134,A4,A3,175.0
135,A3,A2,140.0
136,A2,A1,56.0
137,A1,A90,210.0
138,A90,A86,91.0
139,A86,A90,91.0
140,A90,A89,105.0
141,A89,A87,91.0
142,A87,A86,91.0
143,A86,A85,56.0
144,A85,A84,35.0
145,A84,A88,91.0
146,A88,A81,35.0
147,A81,A87,56.0
148,A87,A89,91.0
149,A89,A80,105.0
150,A80,A74,70.0
151,A74,A80,70.0
152,A80,A79,140.0
153,A79,A81,140.0
154,A81,A88,35.0
155,A88,A82,70.0
156,A82,A78,105.0
157,A78,A79,105.0
158,A79,A75,70.0
159,A75,A76,70.0
160,A76,A64,56.0
161,A64,A76,56.0
162,A76,A109,70.0
163,A109,A72,70.0
164,A72,A109,70.0
165,A109,A67,70.0
166,A67,A68,140.0
167,A68,A73,175.0
168,A73,A69,175.0
169,A69,A70,70.0
170,A70,A72,315.0
171,A72,A74,70.0
172,A74,A75,140.0
173,A75,A77,105.0
174,A77,A42,70.0
175,A42,A64,56.0
176,A64,A65,70.0
177,A65,A66,56.0
178,A66,A67,56.0
179,A67,A68,140.0
180,A68,A69,56.0
181,A69,A70,70.0
182,A70,A71,56.0
183,A71,A108,280.0
184,A108,A61,70.0
185,A61,A108,70.0
186,A108,A107,91.0
187,A107,A60,70.0
188,A60,A61,91.0
189,A61,A62,70.0
190,A62,A63,70.0
191,A63,A62,70.0
192,A62,A59,91.0
193,A59,A58,70.0
194,A58,A63,91.0
195,A63,A54,70.0
196,A54,A53,70.0
197,A53,A54,70.0
198,A54,A55,70.0
199,A55,A57,35.0
200,A57,A56,91.0
201,A56,A50,70.0
202,A50,A51,70.0

Total Cost,17885.0
Edges Traversed,202

Minimum Dominating Set
A106
A2
A31
A64
